Sampling,POC_PON,HRT,ND,RA,pH,Chla,APOC,CL,IS,HAI
1,11.55445545,77.49985975,6,8,7.79,1.1968,18.98837986,86.91159499,2.150447235,2.876716133
2,10.05010141,77.49985975,7,8,7.74,0.7704,33.68540887,43.83781154,37.08318579,1211.564688
3,9.674371176,61.74526077,7,8,6.9,8.4344,34.35723523,58.52342496,1.91768782,3.056341734
4,10.47963425,71.82468176,7,8,7.56,0.4244,28.46781371,59.34288495,4.651062074,51.15186112
5,9.592713685,67.25199514,7,8,7.55,0.62,24.12162704,38.10735726,1.490584808,1.645758977
6,7.393464052,68.60854375,7,8,7.83,4.2584,39.58584442,14.30309253,1.027445246,1.692429419
7,8.063939479,18.64288847,7,8,8.024,0.5768,47.11496311,86.91159499,2.150447235,2.876716133
8,4.843272603,18.64288847,8,8,8.058,1.18,86.70530633,43.83781154,37.08318579,1211.564688
9,1.39832001,15.59600513,8,8,7.895,0.1032,50.27121217,65.25330137,2.685551167,5.898771694
10,6.723124883,19.68035776,8,8,7.81,0.819,66.23684122,58.52342496,1.91768782,3.056341734
11,10.50100229,18.59667281,8,8,7.71,1.066,29.7748553,59.34288495,4.651062074,51.15186112
12,5.657304832,22.25817362,8,8,7.52,11.5164,78.79928207,38.10735726,1.490584808,1.645758977
13,3.033171718,18.63429621,8,8,8.12,16.1584,52.58310383,14.30309253,1.027445246,1.692429419
14,7.679876521,14.00127279,7,1,8.17,4.129,57.16024831,40.2019991,0.229666023,0.59434132
15,15.9399083,11.20292244,8,2,8.45,2.157,11.15609304,20.87604965,0.165600033,0.136140947
16,11.1362825,11.20292244,8,2,8.45,4.5654,26.56242885,25.16938778,0.261135519,0.173777576
17,7.180462734,8.637467145,8,9,7.51,5.3544,54.97500637,86.59847525,2.347636123,3.58944462
18,7.308409586,8.637467145,9,9,7.47,2.604,55.89374116,59.91060476,17.53728729,294.1909482
19,7.08204003,8.637467145,9,9,8.1,2.9852,56.62955706,64.80830644,2.817348149,19.70499817
20,7.311784627,11.42934611,9,9,7.3,1.0816,57.14799918,57.84589713,2.109138155,3.165944356
21,5.616264364,18.64288847,9,9,8.29,0.8364,78.85351642,57.14516811,3.244526645,16.56854041
22,6.09174287,13.85691949,9,9,7.05,0.5068,72.84385288,37.34766797,1.570355839,4.111259653
23,10.18683691,10.38970399,9,9,10.41,0.612,28.62322328,14.43514991,1.067194532,1.832032194
24,5.657124239,56.87877951,7,2,7.64,5.792666667,81.00666903,41.2647299,0.252212271,0.623571293
25,6.828936436,29.92731322,8,3,6.88,30.4564,31.10953062,23.66284343,0.191586499,0.140656475
26,4.27817356,29.92731322,8,3,7.55,24.4318,91.44307008,26.78384221,0.275657202,0.17938374
27,5.990738058,77.87238444,8,10,7.02,0.616,74.52150421,86.98545943,2.522403174,3.715841531
28,8.105313091,77.87238444,9,10,8.21,0.8508,55.09753387,58.5397419,18.58231228,306.205039
29,10.08825776,77.96469213,9,10,8.41,0.4224,35.47134046,62.62418331,2.889956932,20.51690967
30,8.568149468,84.43892543,9,10,8.16,0.8488,44.85586179,54.06796933,2.250910758,3.277234968
31,9.541247679,80.70841251,9,10,8.38,0.6984,41.25417227,54.00712797,3.505393108,17.12729377
32,8.794169374,75.40791027,9,10,8.14,1.3164,68.07273073,38.7287353,1.643982192,4.261405193
33,8.711010061,76.19252813,9,10,8.12,0.8488,49.47577197,14.00524044,1.11254202,1.891508135
34,9.16041628,39.89341449,7,4,8.35,2.3444,40.9448961,40.5861754,0.09044344,0.137963423
35,7.486624603,39.89341449,7,4,8.32,1.8016,51.88078521,37.58776355,0.069038957,0.025314291
36,7.453390618,39.89341449,7,4,8.29,1.3998,56.04674295,41.83240645,0.422894381,1.039457456
37,7.030298711,13.44956519,8,5,8.29,0.7468,62.09536705,43.43983104,0.916495129,2.631035666
38,8.625715092,10.78237283,8,5,8.34,1.5904,42.92431945,32.47765156,0.912407364,1.655541116
39,9.383158246,17.6679078,8,5,8.31,1.3236,33.9407704,24.90962405,0.242658467,0.164698871
40,10.11013584,17.6679078,8,5,8.3,1.5554,32.24666127,26.16443033,0.40913966,0.235961616
41,10.20659858,17.49333086,8,5,8.35,1.3442,29.76968607,27.26149456,0.640472839,0.542698206
42,11.91831061,17.49333086,8,5,8.33,1.2268,22.61183861,25.52357271,0.632962184,0.573325494
43,10.1420554,17.49333086,8,5,8.33,1.1516,31.87494029,23.19493343,0.27526278,0.205004508
44,8.151481065,17.49333086,8,5,8.34,1.1516,48.45029161,27.69271531,0.295906981,0.185315414
45,7.163211524,17.49333086,8,5,8.33,1.2484,51.91135533,37.80259925,0.490782386,0.435701807
46,3.659369407,45.47657544,7,4,8.34,9.6314,94.0081709,40.5861754,0.09044344,0.137963423
47,19.80777575,45.47657544,7,4,8.44,10.0002,7.759371749,37.58776355,0.069038957,0.025314291
48,11.49563626,45.47657544,7,4,8.5,10.8778,24.95107774,41.83240645,0.422894381,1.039457456
49,36.07371371,13.59835061,8,5,8.51,6.7296,4.571596259,43.43983104,0.916495129,2.631035666
50,37.00790775,13.59835061,8,5,8.54,5.4008,4.643689621,42.95719299,0.932442503,2.816571231
51,13.8468294,13.59592799,8,5,8.55,6.0178,15.50657323,32.47765156,0.912407364,1.655541116
52,10.76190629,22.33199785,8,5,8.55,6.0384,28.17586922,24.90962405,0.242658467,0.164698871
53,16.29573478,22.33199785,8,5,8.58,35.02,9.748428689,26.16443033,0.40913966,0.235961616
54,12.38299776,22.29912743,8,5,8.43,14.6624,15.65437515,27.26149456,0.640472839,0.542698206
55,9.304026417,23.29912743,8,5,8.85,11.74,25.90286866,25.52357271,0.632962184,0.573325494
56,8.924778624,24.29912743,8,5,8.61,26.7062,23.97674662,23.19493343,0.27526278,0.205004508
57,10.42198399,26.29912743,8,5,8.43,11.98,21.93248211,37.80259925,0.490782386,0.435701807
58,7.790171219,34.78473065,7,4,8.33,4.8688,54.63990855,40.5861754,0.09044344,0.137963423
59,7.592273992,34.78473065,7,4,8.31,5.5662,58.90249626,37.58776355,0.069038957,0.025314291
60,7.572609461,34.78473065,7,4,8.33,5.5456,56.91992635,41.83240645,0.422894381,1.039457456
61,7.613347965,12.00558575,8,5,8.22,1.5096,52.27630678,43.43983104,0.916495129,2.631035666
62,8.156329841,12.00558575,8,5,8.17,1.9484,48.09952827,42.95719299,0.932442503,2.816571231
63,6.884799104,12.01169717,8,5,8.28,2.0504,63.03922977,32.47765156,0.912407364,1.655541116
64,7.272761428,19.65926041,8,5,8.29,1.6054,54.66042467,24.90962405,0.242658467,0.164698871
65,8.827326155,19.65926041,8,5,8.2,2.2832,45.7333326,26.16443033,0.40913966,0.235961616
66,8.670010766,19.49505223,8,5,8.25,3.9262,49.90129774,27.26149456,0.640472839,0.542698206
67,7.691046026,19.49505223,8,5,8.27,4.4052,60.65603642,25.52357271,0.632962184,0.573325494
68,7.514499963,19.49505223,8,5,8.28,1.0646,59.97157235,23.19493343,0.27526278,0.205004508
69,7.58405443,19.49505223,8,5,8.3,0.6948,59.73509535,27.69271531,0.295906981,0.185315414
70,7.333565662,19.49505223,8,5,8.16,0.5588,58.418823,37.80259925,0.490782386,0.435701807
71,7.044491145,12.0212416,7,4,8.09,1.2387,58.56995869,40.5861754,0.09044344,0.137963423
72,8.3169674,12.0212416,7,4,8.09,1.0471,48.74262465,37.58776355,0.069038957,0.025314291
73,7.791734529,12.0212416,7,4,8.04,3.2289,51.12669067,41.83240645,0.422894381,1.039457456
74,8.340253112,3.862143168,8,5,8.08,0.4857,41.3110275,43.43983104,0.916495129,2.631035666
75,7.80505718,3.862143168,8,5,8.08,0.4651,45.24554452,42.95719299,0.932442503,2.816571231
76,12.60054922,3.862143168,8,5,8.08,0.2735,18.88272378,32.47765156,0.912407364,1.655541116
77,12.63240089,5.816431506,8,5,8.08,0.3899,17.9484153,24.90962405,0.242658467,0.164698871
78,12.95484066,5.816431506,8,5,8.06,0.2735,17.10969925,26.16443033,0.40913966,0.235961616
79,7.947569544,7.427571998,8,5,8.04,3.0383,47.91685347,27.26149456,0.640472839,0.542698206
80,9.471811447,7.427571998,8,5,8.04,0.8895,35.29080428,25.52357271,0.632962184,0.573325494
81,8.948758693,7.427571998,8,5,8.02,0.5815,37.05283119,23.19493343,0.27526278,0.205004508
82,7.936653954,7.427571998,8,5,8,0.7937,46.11665395,27.69271531,0.295906981,0.185315414
83,8.262884425,7.427571998,8,5,8,2.5717,45.66576093,37.80259925,0.490782386,0.435701807
84,7.044491145,12.27859749,7,4,8.23,0.7558,67.1403696,40.5861754,0.09044344,0.137963423
85,6.891794472,12.27859749,7,4,8.23,0.7528,82.90760628,37.58776355,0.069038957,0.025314291
86,7.128883346,12.27859749,7,4,8.2,0.0266,58.64946222,41.83240645,0.422894381,1.039457456
87,7.954041885,4.164892146,8,5,8.25,0.482,49.53485889,43.43983104,0.916495129,2.631035666
88,8.263078813,4.164892146,8,5,8.24,0.2594,47.49657469,42.95719299,0.932442503,2.816571231
89,9.05513065,2.571891624,8,5,8.18,0.0998,38.10491875,32.47765156,0.912407364,1.655541116
90,9.360141011,4.365474727,8,5,8.24,0.146,37.89391438,24.90962405,0.242658467,0.164698871
91,9.032504364,4.365474727,8,5,8.25,0.174,39.2771663,26.16443033,0.40913966,0.235961616
92,9.730728177,4.24852577,8,5,8.23,0.283,33.96179708,27.26149456,0.640472839,0.542698206
93,8.914748276,4.24852577,8,5,8.25,0.0698,39.9859469,25.52357271,0.632962184,0.573325494
94,7.82034598,4.24852577,8,5,8.23,0.174,51.07141152,23.19493343,0.27526278,0.205004508
95,9.32893434,4.24852577,8,5,8.22,0.2688,37.63413907,27.69271531,0.295906981,0.185315414
