Sampling	POC_PON	ND	HRT	RA	CL	IS	HAI	RPOC	RPON	DSUP	DSDW
1	7.679876521	7	14.00127279	1	40.2019991	0.229666023	0.59434132	-76.91975152	14.75974517	1	644.44
2	15.9399083	8	11.20292244	2	20.87604965	0.165600033	0.136140947	-34.47036941	-8.796511047	69.24	85
3	11.1362825	8	11.20292244	2	25.16938778	0.261135519	0.173777576	-34.47036941	-8.796511047	11.25	153
4	7.180462734	8	8.637467145	9	86.59847525	2.347636123	3.58944462	43.58139482	69.95674216	778	271.67
5	7.308409586	9	8.637467145	9	59.91060476	17.53728729	294.1909482	43.58139482	69.95674216	592	457.67
6	7.08204003	9	8.637467145	9	64.80830644	2.817348149	19.70499817	43.58139482	69.95674216	493	556.67
7	7.311784627	9	11.42934611	9	57.84589713	2.109138155	3.165944356	43.58139482	69.95674216	352	697.67
8	5.616264364	9	18.64288847	9	57.14516811	3.244526645	16.56854041	43.58139482	69.95674216	310	739.67
9	6.09174287	9	13.85691949	9	37.34766797	1.570355839	4.111259653	43.58139482	69.95674216	164	885.67
10	10.18683691	9	10.38970399	9	14.43514991	1.067194532	1.832032194	43.58139482	69.95674216	2	1047.67
11	6.828936436	8	29.92731322	3	23.66284343	0.191586499	0.140656475	86.06327388	88.21976787	69.24	85
12	4.27817356	8	29.92731322	3	26.78384221	0.275657202	0.17938374	86.06327388	88.21976787	11.25	153
13	5.990738058	8	77.87238444	10	86.98545943	2.522403174	3.715841531	-15.16992268	-15.94105115	778	271.67
14	8.105313091	9	77.87238444	10	58.5397419	18.58231228	306.205039	-15.16992268	-15.94105115	592	457.67
15	10.08825776	9	77.96469213	10	62.62418331	2.889956932	20.51690967	-15.16992268	-15.94105115	493	556.67
16	8.568149468	9	84.43892543	10	54.06796933	2.250910758	3.277234968	-15.16992268	-15.94105115	352	697.67
17	9.541247679	9	80.70841251	10	54.00712797	3.505393108	17.12729377	-15.16992268	-15.94105115	310	739.67
18	8.794169374	9	75.40791027	10	38.7287353	1.643982192	4.261405193	-15.16992268	-15.94105115	164	885.67
19	8.711010061	9	76.19252813	10	14.00524044	1.11254202	1.891508135	-15.16992268	-15.94105115	2	1047.67
20	9.16041628	7	39.89341449	4	40.5861754	0.09044344	0.137963423	53.65007537	47.61278356	21	621.68
21	7.486624603	7	39.89341449	4	37.58776355	0.069038957	0.025314291	53.65007537	47.61278356	11	631.68
22	7.453390618	7	39.89341449	4	41.83240645	0.422894381	1.039457456	53.65007537	47.61278356	4	638.68
23	7.030298711	8	13.44956519	5	43.43983104	0.916495129	2.631035666	37.43309716	37.66401352	152	5
24	8.625715092	8	10.78237283	5	32.47765156	0.912407364	1.655541116	37.43309716	37.66401352	124	33
25	9.383158246	8	17.6679078	5	24.90962405	0.242658467	0.164698871	37.43309716	37.66401352	102	55
26	10.11013584	8	17.6679078	5	26.16443033	0.40913966	0.235961616	37.43309716	37.66401352	59	98
27	10.20659858	8	17.49333086	5	27.26149456	0.640472839	0.542698206	37.43309716	37.66401352	34	123
28	11.91831061	8	17.49333086	5	25.52357271	0.632962184	0.573325494	37.43309716	37.66401352	28	129
29	10.1420554	8	17.49333086	5	23.19493343	0.27526278	0.205004508	37.43309716	37.66401352	15	142
30	8.151481065	8	17.49333086	5	27.69271531	0.295906981	0.185315414	37.43309716	37.66401352	10	147
31	7.163211524	8	17.49333086	5	37.80259925	0.490782386	0.435701807	37.43309716	37.66401352	2	155
32	3.659369407	7	45.47657544	4	40.5861754	0.09044344	0.137963423	-155.3947576	36.86019705	21	621.68
33	19.80777575	7	45.47657544	4	37.58776355	0.069038957	0.025314291	-155.3947576	36.86019705	11	631.68
34	11.49563626	7	45.47657544	4	41.83240645	0.422894381	1.039457456	-155.3947576	36.86019705	4	638.68
35	36.07371371	8	13.59835061	5	43.43983104	0.916495129	2.631035666	62.66366384	24.94743022	152	5
36	37.00790775	8	13.59835061	5	42.95719299	0.932442503	2.816571231	62.66366384	24.94743022	143	14
37	13.8468294	8	13.59592799	5	32.47765156	0.912407364	1.655541116	62.66366384	24.94743022	124	33
38	10.76190629	8	22.33199785	5	24.90962405	0.242658467	0.164698871	62.66366384	24.94743022	102	55
39	16.29573478	8	22.33199785	5	26.16443033	0.40913966	0.235961616	62.66366384	24.94743022	59	98
40	12.38299776	8	22.29912743	5	27.26149456	0.640472839	0.542698206	62.66366384	24.94743022	34	123
41	9.304026417	8	23.29912743	5	25.52357271	0.632962184	0.573325494	62.66366384	24.94743022	28	129
42	8.924778624	8	24.29912743	5	23.19493343	0.27526278	0.205004508	62.66366384	24.94743022	15	142
43	10.42198399	8	26.29912743	5	37.80259925	0.490782386	0.435701807	62.66366384	24.94743022	2	155
44	7.790171219	7	34.78473065	4	40.5861754	0.09044344	0.137963423	57.18795848	56.99630548	21	621.68
45	7.592273992	7	34.78473065	4	37.58776355	0.069038957	0.025314291	57.18795848	56.99630548	11	631.68
46	7.572609461	7	34.78473065	4	41.83240645	0.422894381	1.039457456	57.18795848	56.99630548	4	638.68
47	7.613347965	8	12.00558575	5	43.43983104	0.916495129	2.631035666	-21.00301464	-24.04054375	152	5
48	8.156329841	8	12.00558575	5	42.95719299	0.932442503	2.816571231	-21.00301464	-24.04054375	143	14
49	6.884799104	8	12.01169717	5	32.47765156	0.912407364	1.655541116	-21.00301464	-24.04054375	124	33
50	7.272761428	8	19.65926041	5	24.90962405	0.242658467	0.164698871	-21.00301464	-24.04054375	102	55
51	8.827326155	8	19.65926041	5	26.16443033	0.40913966	0.235961616	-21.00301464	-24.04054375	59	98
52	8.670010766	8	19.49505223	5	27.26149456	0.640472839	0.542698206	-21.00301464	-24.04054375	34	123
53	7.691046026	8	19.49505223	5	25.52357271	0.632962184	0.573325494	-21.00301464	-24.04054375	28	129
54	7.514499963	8	19.49505223	5	23.19493343	0.27526278	0.205004508	-21.00301464	-24.04054375	15	142
55	7.58405443	8	19.49505223	5	27.69271531	0.295906981	0.185315414	-21.00301464	-24.04054375	10	147
56	7.333565662	8	19.49505223	5	37.80259925	0.490782386	0.435701807	-21.00301464	-24.04054375	2	155
57	7.044491145	7	12.0212416	4	40.5861754	0.09044344	0.137963423	-9.195670255	-1.151692648	21	621.68
58	8.3169674	7	12.0212416	4	37.58776355	0.069038957	0.025314291	-9.195670255	-1.151692648	11	631.68
59	7.791734529	7	12.0212416	4	41.83240645	0.422894381	1.039457456	-9.195670255	-1.151692648	4	638.68
60	8.340253112	8	3.862143168	5	43.43983104	0.916495129	2.631035666	26.78510459	6.970383907	152	5
61	7.80505718	8	3.862143168	5	42.95719299	0.932442503	2.816571231	26.78510459	6.970383907	143	14
62	12.60054922	8	3.862143168	5	32.47765156	0.912407364	1.655541116	26.78510459	6.970383907	124	33
63	12.63240089	8	5.816431506	5	24.90962405	0.242658467	0.164698871	26.78510459	6.970383907	102	55
64	12.95484066	8	5.816431506	5	26.16443033	0.40913966	0.235961616	26.78510459	6.970383907	59	98
65	7.947569544	8	7.427571998	5	27.26149456	0.640472839	0.542698206	26.78510459	6.970383907	34	123
66	9.471811447	8	7.427571998	5	25.52357271	0.632962184	0.573325494	26.78510459	6.970383907	28	129
67	8.948758693	8	7.427571998	5	23.19493343	0.27526278	0.205004508	26.78510459	6.970383907	15	142
68	7.936653954	8	7.427571998	5	27.69271531	0.295906981	0.185315414	26.78510459	6.970383907	10	147
69	8.262884425	8	7.427571998	5	37.80259925	0.490782386	0.435701807	26.78510459	6.970383907	2	155
70	7.044491145	7	12.27859749	4	40.5861754	0.09044344	0.137963423	38.06320653	45.14572598	21	621.68
71	6.891794472	7	12.27859749	4	37.58776355	0.069038957	0.025314291	38.06320653	45.14572598	11	631.68
72	7.128883346	7	12.27859749	4	41.83240645	0.422894381	1.039457456	38.06320653	45.14572598	4	638.68
73	7.954041885	8	4.164892146	5	43.43983104	0.916495129	2.631035666	1.27764729	-8.148279455	152	5
74	8.263078813	8	4.164892146	5	42.95719299	0.932442503	2.816571231	1.27764729	-8.148279455	143	14
75	9.05513065	8	2.571891624	5	32.47765156	0.912407364	1.655541116	1.27764729	-8.148279455	124	33
76	9.360141011	8	4.365474727	5	24.90962405	0.242658467	0.164698871	1.27764729	-8.148279455	102	55
77	9.032504364	8	4.365474727	5	26.16443033	0.40913966	0.235961616	1.27764729	-8.148279455	59	98
78	9.730728177	8	4.24852577	5	27.26149456	0.640472839	0.542698206	1.27764729	-8.148279455	34	123
79	8.914748276	8	4.24852577	5	25.52357271	0.632962184	0.573325494	1.27764729	-8.148279455	28	129
