Sampling	POC_PP	ND	RA	HRT	DSUP	DSDW	RPOC	RPP	CL	IS	HAI
1	26.628	7	1	14	1	644.44	-76.92	-162.857	40.2019991	0.229666023	0.59434132
2	17.922	8	2	11	69.24	85	-34.47	-205.455	20.87604965	0.165600033	0.136140947
3	40.063	8	2	11	11.25	153	-34.47	-205.455	25.16938778	0.261135519	0.173777576
4	11.324	8	9	9	778	271.67	43.581	90.337	86.59847525	2.347636123	3.58944462
5	19.177	9	9	9	592	457.67	43.581	90.337	59.91060476	17.53728729	294.1909482
6	21.5	9	9	9	493	556.67	43.581	90.337	64.80830644	2.817348149	19.70499817
7	29.565	9	9	11	352	697.67	43.581	90.337	57.84589713	2.109138155	3.165944356
8	11.767	9	9	19	310	739.67	43.581	90.337	57.14516811	3.244526645	16.56854041
9	19.508	9	9	14	164	885.67	43.581	90.337	37.34766797	1.570355839	4.111259653
10	56.718	9	9	10	2	1047.67	43.581	90.337	14.43514991	1.067194532	1.832032194
11	137.763	8	3	30	69.24	85	86.063	44.517	23.66284343	0.191586499	0.140656475
12	47.314	8	3	30	11.25	153	86.063	44.517	26.78384221	0.275657202	0.17938374
13	7.431	8	10	78	778	271.67	-15.17	-143.763	86.98545943	2.522403174	3.715841531
14	46.384	9	10	78	592	457.67	-15.17	-143.763	58.5397419	18.58231228	306.205039
15	7.066	9	10	78	493	556.67	-15.17	-143.763	62.62418331	2.889956932	20.51690967
16	3.453	9	10	84	352	697.67	-15.17	-143.763	54.06796933	2.250910758	3.277234968
17	7.612	9	10	81	310	739.67	-15.17	-143.763	54.00712797	3.505393108	17.12729377
18	8.335	9	10	75	164	885.67	-15.17	-143.763	38.7287353	1.643982192	4.261405193
19	10.522	9	10	76	2	1047.67	-15.17	-143.763	14.00524044	1.11254202	1.891508135
20	13.863	7	4	45	21	621.68	-155.395	48.231	40.5861754	0.09044344	0.137963423
21	117.84	7	4	45	11	631.68	-155.395	48.231	37.58776355	0.069038957	0.025314291
22	131.133	7	4	45	4	638.68	-155.395	48.231	41.83240645	0.422894381	1.039457456
23	250.999	7	4	35	21	621.68	57.188	29.003	40.5861754	0.09044344	0.137963423
24	79.105	7	4	35	11	631.68	57.188	29.003	37.58776355	0.069038957	0.025314291
25	145.494	7	4	35	4	638.68	57.188	29.003	41.83240645	0.422894381	1.039457456
26	78.321	8	5	12	152	5	-21.003	66.849	43.43983104	0.916495129	2.631035666
27	90.033	8	5	12	143	14	-21.003	66.849	42.95719299	0.932442503	2.816571231
28	122.26	8	5	12	124	33	-21.003	66.849	32.47765156	0.912407364	1.655541116
29	140.573	8	5	20	102	55	-21.003	66.849	24.90962405	0.242658467	0.164698871
30	218.383	8	5	20	59	98	-21.003	66.849	26.16443033	0.40913966	0.235961616
31	139.177	8	5	19	34	123	-21.003	66.849	27.26149456	0.640472839	0.542698206
32	116.016	8	5	19	28	129	-21.003	66.849	25.52357271	0.632962184	0.573325494
33	408.48	8	5	19	15	142	-21.003	66.849	23.19493343	0.27526278	0.205004508
34	91.098	8	5	19	10	147	-21.003	66.849	27.69271531	0.295906981	0.185315414
35	219.17	8	5	19	2	155	-21.003	66.849	37.80259925	0.490782386	0.435701807
36	21.78	7	4	12	21	621.68	-9.196	-34.574	40.5861754	0.09044344	0.137963423
37	21.896	7	4	12	11	631.68	-9.196	-34.574	37.58776355	0.069038957	0.025314291
38	23.311	7	4	12	4	638.68	-9.196	-34.574	41.83240645	0.422894381	1.039457456
39	18.17	8	5	4	152	5	26.785	-16.835	43.43983104	0.916495129	2.631035666
40	22.93	8	5	4	143	14	26.785	-16.835	42.95719299	0.932442503	2.816571231
41	14.956	8	5	4	124	33	26.785	-16.835	32.47765156	0.912407364	1.655541116
42	19.337	8	5	6	102	55	26.785	-16.835	24.90962405	0.242658467	0.164698871
43	26.24	8	5	6	59	98	26.785	-16.835	26.16443033	0.40913966	0.235961616
44	15.303	8	5	7	34	123	26.785	-16.835	27.26149456	0.640472839	0.542698206
45	22.852	8	5	7	28	129	26.785	-16.835	25.52357271	0.632962184	0.573325494
46	16.969	8	5	7	15	142	26.785	-16.835	23.19493343	0.27526278	0.205004508
47	16.713	8	5	7	10	147	26.785	-16.835	27.69271531	0.295906981	0.185315414
48	18.07	8	5	7	2	155	26.785	-16.835	37.80259925	0.490782386	0.435701807
49	19.36	7	4	12	21	621.68	38.063	-33.133	40.5861754	0.09044344	0.137963423
50	16.218	7	4	12	11	631.68	38.063	-33.133	37.58776355	0.069038957	0.025314291
51	11.243	7	4	12	4	638.68	38.063	-33.133	41.83240645	0.422894381	1.039457456
52	9.007	8	5	4	152	5	1.278	40.708	43.43983104	0.916495129	2.631035666
53	9.775	8	5	4	143	14	1.278	40.708	42.95719299	0.932442503	2.816571231
54	9.836	8	5	3	124	33	1.278	40.708	32.47765156	0.912407364	1.655541116
55	7.459	8	5	4	102	55	1.278	40.708	24.90962405	0.242658467	0.164698871
56	8.657	8	5	4	59	98	1.278	40.708	26.16443033	0.40913966	0.235961616
57	9.209	8	5	4	34	123	1.278	40.708	27.26149456	0.640472839	0.542698206
