Sampling	PON_PP	ND	RA	HRT	DSUP	DSDW	RPON	RPP	CL	IS	HAI
1	3.467	7	1	14	1	644.44	14.76	-162.857	40.2019991	0.229666023	0.59434132
2	1.124	8	2	11	69.24	85	-8.797	-205.455	20.87604965	0.165600033	0.136140947
3	3.598	8	2	11	11.25	153	-8.797	-205.455	25.16938778	0.261135519	0.173777576
4	1.577	8	9	9	778	271.67	69.957	90.337	86.59847525	2.347636123	3.58944462
5	2.624	9	9	9	592	457.67	69.957	90.337	59.91060476	17.53728729	294.1909482
6	3.036	9	9	9	493	556.67	69.957	90.337	64.80830644	2.817348149	19.70499817
7	4.044	9	9	11	352	697.67	69.957	90.337	57.84589713	2.109138155	3.165944356
8	2.095	9	9	19	310	739.67	69.957	90.337	57.14516811	3.244526645	16.56854041
9	3.202	9	9	14	164	885.67	69.957	90.337	37.34766797	1.570355839	4.111259653
10	5.568	9	9	10	2	1047.67	69.957	90.337	14.43514991	1.067194532	1.832032194
11	20.173	8	3	30	69.24	85	88.22	44.517	23.66284343	0.191586499	0.140656475
12	11.059	8	3	30	11.25	153	88.22	44.517	26.78384221	0.275657202	0.17938374
13	1.24	8	10	78	778	271.67	-15.941	-143.763	86.98545943	2.522403174	3.715841531
14	5.723	9	10	78	592	457.67	-15.941	-143.763	58.5397419	18.58231228	306.205039
15	0.7	9	10	78	493	556.67	-15.941	-143.763	62.62418331	2.889956932	20.51690967
16	0.403	9	10	84	352	697.67	-15.941	-143.763	54.06796933	2.250910758	3.277234968
17	0.798	9	10	81	310	739.67	-15.941	-143.763	54.00712797	3.505393108	17.12729377
18	0.948	9	10	75	164	885.67	-15.941	-143.763	38.7287353	1.643982192	4.261405193
19	1.208	9	10	76	2	1047.67	-15.941	-143.763	14.00524044	1.11254202	1.891508135
20	3.788	7	4	45	21	621.68	36.86	48.231	40.5861754	0.09044344	0.137963423
21	5.949	7	4	45	11	631.68	36.86	48.231	37.58776355	0.069038957	0.025314291
22	11.407	7	4	45	4	638.68	36.86	48.231	41.83240645	0.422894381	1.039457456
23	32.22	7	4	35	21	621.68	56.996	29.003	40.5861754	0.09044344	0.137963423
24	10.419	7	4	35	11	631.68	56.996	29.003	37.58776355	0.069038957	0.025314291
25	19.213	7	4	35	4	638.68	56.996	29.003	41.83240645	0.422894381	1.039457456
26	10.287	8	5	12	152	5	-24.041	66.849	43.43983104	0.916495129	2.631035666
27	11.038	8	5	12	143	14	-24.041	66.849	42.95719299	0.932442503	2.816571231
28	17.758	8	5	12	124	33	-24.041	66.849	32.47765156	0.912407364	1.655541116
29	19.329	8	5	20	102	55	-24.041	66.849	24.90962405	0.242658467	0.164698871
30	24.739	8	5	20	59	98	-24.041	66.849	26.16443033	0.40913966	0.235961616
31	16.053	8	5	19	34	123	-24.041	66.849	27.26149456	0.640472839	0.542698206
32	15.085	8	5	19	28	129	-24.041	66.849	25.52357271	0.632962184	0.573325494
33	54.359	8	5	19	15	142	-24.041	66.849	23.19493343	0.27526278	0.205004508
34	12.012	8	5	19	10	147	-24.041	66.849	27.69271531	0.295906981	0.185315414
35	29.886	8	5	19	2	155	-24.041	66.849	37.80259925	0.490782386	0.435701807
36	3.092	7	4	12	21	621.68	-1.152	-34.574	40.5861754	0.09044344	0.137963423
37	2.633	7	4	12	11	631.68	-1.152	-34.574	37.58776355	0.069038957	0.025314291
38	2.992	7	4	12	4	638.68	-1.152	-34.574	41.83240645	0.422894381	1.039457456
39	2.179	8	5	4	152	5	6.97	-16.835	43.43983104	0.916495129	2.631035666
40	2.938	8	5	4	143	14	6.97	-16.835	42.95719299	0.932442503	2.816571231
41	1.187	8	5	4	124	33	6.97	-16.835	32.47765156	0.912407364	1.655541116
42	1.531	8	5	6	102	55	6.97	-16.835	24.90962405	0.242658467	0.164698871
43	2.025	8	5	6	59	98	6.97	-16.835	26.16443033	0.40913966	0.235961616
44	1.925	8	5	7	34	123	6.97	-16.835	27.26149456	0.640472839	0.542698206
45	2.413	8	5	7	28	129	6.97	-16.835	25.52357271	0.632962184	0.573325494
46	1.896	8	5	7	15	142	6.97	-16.835	23.19493343	0.27526278	0.205004508
47	2.106	8	5	7	10	147	6.97	-16.835	27.69271531	0.295906981	0.185315414
48	2.187	8	5	7	2	155	6.97	-16.835	37.80259925	0.490782386	0.435701807
49	2.748	7	4	12	21	621.68	45.146	-33.133	40.5861754	0.09044344	0.137963423
50	2.353	7	4	12	11	631.68	45.146	-33.133	37.58776355	0.069038957	0.025314291
51	1.577	7	4	12	4	638.68	45.146	-33.133	41.83240645	0.422894381	1.039457456
52	1.132	8	5	4	152	5	-8.148	40.708	43.43983104	0.916495129	2.631035666
53	1.183	8	5	4	143	14	-8.148	40.708	42.95719299	0.932442503	2.816571231
54	1.086	8	5	3	124	33	-8.148	40.708	32.47765156	0.912407364	1.655541116
55	0.797	8	5	4	102	55	-8.148	40.708	24.90962405	0.242658467	0.164698871
56	0.958	8	5	4	59	98	-8.148	40.708	26.16443033	0.40913966	0.235961616
57	0.946	8	5	4	34	123	-8.148	40.708	27.26149456	0.640472839	0.542698206
58	1.001	8	5	4	28	129	-8.148	40.708	25.52357271	0.632962184	0.573325494
59	0.572	8	5	4	15	142	-8.148	40.708	23.19493343	0.27526278	0.205004508
60	1.069	8	5	4	10	147	-8.148	40.708	27.69271531	0.295906981	0.185315414
61	5.573	8	5	4	2	155	-8.148	40.708	37.80259925	0.490782386	0.435701807
62	1.12	7	4	32	21	621.68	-8.859	48.504	40.5861754	0.09044344	0.137963423
63	0.221	7	4	32	11	631.68	-8.859	48.504	37.58776355	0.069038957	0.025314291
64	0.732	7	4	32	4	638.68	-8.859	48.504	41.83240645	0.422894381	1.039457456
65	1.156	8	5	7	152	5	10.405	-170.909	43.43983104	0.916495129	2.631035666
66	1.362	8	5	7	143	14	10.405	-170.909	42.95719299	0.932442503	2.816571231
67	1.34	8	5	7	124	33	10.405	-170.909	32.47765156	0.912407364	1.655541116
68	1.058	8	5	12	102	55	10.405	-170.909	24.90962405	0.242658467	0.164698871
69	0.809	8	5	12	59	98	10.405	-170.909	26.16443033	0.40913966	0.235961616
70	0.96	8	5	13	34	123	10.405	-170.909	27.26149456	0.640472839	0.542698206
71	0.637	8	5	13	28	129	10.405	-170.909	25.52357271	0.632962184	0.573325494
72	2.024	8	5	13	15	142	10.405	-170.909	23.19493343	0.27526278	0.205004508
73	1.055	8	5	13	10	147	10.405	-170.909	27.69271531	0.295906981	0.185315414
74	1.154	8	5	13	2	155	10.405	-170.909	37.80259925	0.490782386	0.435701807
75	4.372	7	5	41	21	621.68	-176.017	-34.885	40.5861754	0.09044344	0.137963423
76	0.924	7	5	41	11	631.68	-176.017	-34.885	37.58776355	0.069038957	0.025314291
77	0.85	7	5	41	4	638.68	-176.017	-34.885	41.83240645	0.422894381	1.039457456
78	2.416	8	6	11	152	5	60.571	-79.28	43.43983104	0.916495129	2.631035666
79	0.688	8	6	11	143	14	60.571	-79.28	42.95719299	0.932442503	2.816571231
80	0.93	8	6	11	124	33	60.571	-79.28	32.47765156	0.912407364	1.655541116
81	0.914	8	6	12	102	55	60.571	-79.28	24.90962405	0.242658467	0.164698871
82	0.955	8	6	12	59	98	60.571	-79.28	26.16443033	0.40913966	0.235961616
83	6.966	8	6	13	34	123	60.571	-79.28	27.26149456	0.640472839	0.542698206
84	1.451	8	6	13	28	129	60.571	-79.28	25.52357271	0.632962184	0.573325494
