ID,Sampling site,Sampling time,C3mean,C3sd,C35,C325,C350,C375,C395,C4mean,C4sd,C45,C425,C450,C475,C495,Soilmean,Soilsd,Soil5,Soil25,Soil50,Soil75,Soil95,Planktonmean,Planktonsd,Plankton5,Plankton25,Plankton50,Plankton75,Plankton95
1,ZT,Dec-14,0.318174028,0.127833498,0.096681174,0.23128845,0.322834195,0.406541979,0.521264418,0.214507992,0.114443205,0.050365811,0.127264179,0.204685768,0.284298191,0.422178759,0.271017427,0.167591144,0.05124471,0.139759972,0.243303953,0.374387512,0.588444404,0.196300554,0.099985073,0.045832446,0.118586381,0.189883799,0.26396924,0.37324504
2,CT,Dec-14,0.41890956,0.128906994,0.196631399,0.341631236,0.424572795,0.505200385,0.620741993,0.096343864,0.064080846,0.022657273,0.050246421,0.083150079,0.126341072,0.217631269,0.152743634,0.117114997,0.028530612,0.070802753,0.123331477,0.200510364,0.383731898,0.332002942,0.110489969,0.134763378,0.261027641,0.336854089,0.40740794,0.504487329
3,ZX,Dec-14,0.348248813,0.125896769,0.126513818,0.266715638,0.353224154,0.432055713,0.548089213,0.117809328,0.076522954,0.026538732,0.061206841,0.100908827,0.158023963,0.267627035,0.19857003,0.143921175,0.033484967,0.091519408,0.165973102,0.266256335,0.489250733,0.335371829,0.122295965,0.10908717,0.259323914,0.343572352,0.419911772,0.520658332
4,WZ,Dec-14,0.39519611,0.128510911,0.169943701,0.313253344,0.40128256,0.48262764,0.596015185,0.12421855,0.080023754,0.028336803,0.065583093,0.108318774,0.162812089,0.280470638,0.1997196,0.137567651,0.038694502,0.09491323,0.170520742,0.271778517,0.466646379,0.28086574,0.111645267,0.087146248,0.205211598,0.284678137,0.357981984,0.4622761
5,FJ,Dec-14,0.152665545,0.084743488,0.035011201,0.085782838,0.141479121,0.209265804,0.303439103,0.252261574,0.118357086,0.064317336,0.162127729,0.250970544,0.332981663,0.457530983,0.352773544,0.195435421,0.063804039,0.190898029,0.341240335,0.496693017,0.683023709,0.242299337,0.123459037,0.050280797,0.145165682,0.24121627,0.332865495,0.447494499
6,ZG,Dec-14,0.10470665,0.06430029,0.023566848,0.056224944,0.092643314,0.141372054,0.227684537,0.150939528,0.085732587,0.031203106,0.08303895,0.141089461,0.208007461,0.303126882,0.364878867,0.213763843,0.059918202,0.186781768,0.351347546,0.520053539,0.74579108,0.379474955,0.17573932,0.076481819,0.241268762,0.395858444,0.513539982,0.642868688
7,ZT,Aug-15,0.198674568,0.099434757,0.046950864,0.121048574,0.195261166,0.267743009,0.372104504,0.124348541,0.074307624,0.028632332,0.068372118,0.110725769,0.167407936,0.266329974,0.219993297,0.158179532,0.034312797,0.09773939,0.18553179,0.30492321,0.529223616,0.456983593,0.135851818,0.196126191,0.382380036,0.471149631,0.54737732,0.654961175
8,CT,Aug-15,0.03785551,0.026449882,0.007471223,0.01804815,0.031705433,0.050845953,0.089429913,0.038463243,0.02636618,0.007488358,0.018326742,0.032558209,0.052850003,0.089534768,0.076998613,0.107004075,0.009981686,0.02552751,0.048488986,0.087944722,0.212707117,0.846682634,0.113632966,0.710674634,0.819856732,0.867053063,0.906211421,0.950097568
9,FL,Aug-15,0.002582048,0.002057704,0.00049511,0.001143171,0.001987736,0.003393116,0.006658163,0.002540554,0.002108015,0.000515216,0.001108613,0.001926198,0.003286949,0.006513605,0.49529455,0.493592526,0.000568373,0.001496745,0.489931894,0.989647671,0.994489479,0.499582848,0.4954833,0.001197658,0.003424092,0.502712122,0.995249594,0.997430404
10,ZX,Aug-15,0.118723129,0.069761828,0.026691241,0.063601656,0.107952062,0.16282554,0.250785864,0.082166599,0.052181746,0.018734345,0.042569751,0.071581335,0.110257277,0.183663793,0.146166061,0.116790485,0.023776052,0.063415553,0.114182027,0.196116366,0.36180443,0.652944212,0.117042251,0.459052895,0.588354238,0.662368412,0.732340611,0.824238996
11,WZ,Aug-15,0.450927699,0.128614392,0.219226934,0.375193325,0.45632484,0.533392147,0.648864988,0.097245588,0.066333493,0.020767354,0.050337901,0.083425643,0.126393719,0.221205005,0.159115332,0.120823695,0.02658231,0.072668942,0.130066788,0.210458068,0.397855516,0.292711382,0.107135609,0.103688904,0.223457552,0.297748553,0.364384071,0.464235842
12,FJ,Aug-15,0.063856426,0.042476412,0.013160028,0.032177884,0.053721703,0.085552823,0.149892057,0.056320561,0.037039148,0.011691312,0.028459725,0.048404292,0.075375783,0.127946373,0.104628332,0.096845433,0.015071336,0.042076706,0.07813539,0.136444005,0.27403813,0.775194681,0.10374283,0.603880862,0.727807832,0.787992821,0.842466487,0.906583369
13,ZG,Aug-15,0.013016294,0.009999592,0.002573146,0.005990674,0.010393612,0.017029289,0.033087658,0.011866947,0.008947001,0.002446714,0.00568982,0.009520863,0.015461723,0.028881929,0.478755581,0.467172625,0.003217932,0.009387355,0.449505126,0.950266236,0.974362255,0.496361179,0.47277323,0.005909865,0.018415285,0.525831038,0.971115293,0.985157648
14,BT,Sep-15,0.253919547,0.115576625,0.067698211,0.167834453,0.251948105,0.332071298,0.449936195,0.164158248,0.095178334,0.036762101,0.092855875,0.149146023,0.219502862,0.348545445,0.271243901,0.169369783,0.049305936,0.139579616,0.243261602,0.373327076,0.598981157,0.310678304,0.126971005,0.084893766,0.224517701,0.318338778,0.401637164,0.506652625
15,BZL,Sep-15,0.153567325,0.083185979,0.035415469,0.089166161,0.142857264,0.209019071,0.304368603,0.12705922,0.074144185,0.027290899,0.068540606,0.115929545,0.173474809,0.266573456,0.24872427,0.173315557,0.037454819,0.11103962,0.213070932,0.343410899,0.608135732,0.470649185,0.152638552,0.167045625,0.38519711,0.494405703,0.576095466,0.683680294
16,TC,Sep-15,0.211509849,0.102473506,0.052276827,0.133380428,0.2070006,0.282603763,0.384882762,0.13579659,0.080946964,0.029500904,0.073171922,0.121535023,0.186288719,0.288694282,0.244663081,0.16788797,0.040304066,0.114685461,0.208678359,0.338488064,0.569611207,0.40803048,0.139131903,0.136819567,0.327046471,0.42306249,0.502905636,0.616926999
17,SG,Sep-15,0.434706051,0.131429472,0.195511661,0.357073837,0.443527418,0.52173017,0.635219886,0.157624239,0.097556778,0.03629917,0.087070094,0.139671961,0.207443249,0.336706911,0.209730994,0.138159962,0.04179526,0.104706856,0.183027981,0.279733423,0.481047883,0.197938716,0.09548257,0.047550713,0.12395549,0.194332409,0.26742117,0.353710168
18,HTX,Sep-15,0.384622804,0.130248122,0.153910436,0.299674144,0.393515759,0.472402646,0.585802193,0.167920742,0.100413762,0.038573777,0.09559506,0.150766275,0.221104017,0.364441592,0.230798447,0.145634637,0.04500266,0.119540837,0.205446429,0.315256838,0.513451655,0.216658007,0.099168181,0.056811554,0.142825123,0.217683228,0.286962305,0.380833831
19,AH,Sep-15,0.383712436,0.131213708,0.146403444,0.299833773,0.392979451,0.474203953,0.586306617,0.160812446,0.095382026,0.036030213,0.090148373,0.144760861,0.214898273,0.339832988,0.230235017,0.147607444,0.045843583,0.117101747,0.203017003,0.311325955,0.519420925,0.225240101,0.10152005,0.058095026,0.150733714,0.225883656,0.294477116,0.39063518
