13C,N_C
-23.812,0.086546701
-27.427,0.099501484
-26.432,0.103365891
-26.199,0.095423178
-21.585,0.104245788
-22.431,0.135254597
-25.7979,0.124008867
-25.8159,0.206471963
-25.1228,0.715143882
-27.3678,0.148740358
-27.2778,0.095229005
-27.3908,0.176762616
-28.2198,0.329687895
-24.556,0.106012873
-25.036,0.131119451
-25.323,0.119085814
-25.343,0.082845618
-24.991,0.087430583
-25.148,0.088236469
-25.252,0.138454447
-25.079,0.102855093
-25.3,0.164334811
-25.773,0.180833183
-25.042,0.135012832
-24.755,0.102459657
-27.973,0.130210427
-26.078,0.062735618
-27.717,0.089796573
-25.548,0.056841058
-25.399,0.139266791
-26.05,0.136828675
-25.536,0.141202252
-26.531,0.136765516
-27.214,0.178054296
-26.891,0.164156633
-25.389,0.098165899
-26.972,0.075139025
-26.24,0.078348289
-25.767,0.160023388
-25.783,0.109601929
-25.509,0.039113605
-25.778,0.120506867
-24.893,0.143665113
-25.756,0.118261288
-28.718,0.132096028
-30.483,0.172627951
-30.664,0.166934264
-29.568,0.185505849
-29.171,0.176768259
-21.171,0.146435687
-26.353,0.233744608
-25.837,0.123777017
-27.338,0.166924341
-28.973,0.123375863
-28.368,0.099125144
-26.883,0.116711316
-29.015,0.104808096
-34.269,0.113711706
-29.041,0.11479725
-28.887,0.122029085
-27.32640344,0.109165345
-25.43320708,0.133571543
-26.5228175,0.134167126
-26.96543058,0.142241467
-26.16880663,0.115932417
-25.26576579,0.106573925
-27.08310774,0.098910639
-25.73323398,0.097975833
-27.64682433,0.083904509
-26.75615979,0.098599343
-26.49813485,0.122677093
-24.34917014,0.139602188
-26.22299349,0.112946384
-27.12658632,0.104720085
-28.33310028,0.273271127
-27.48906881,0.050485224
-27.58619823,0.08698953
-26.9768253,0.027721016
-22.04003346,0.027021252
-27.20027461,0.072218699
-27.20386812,0.092920341
-21.67836318,0.061365751
-22.33285654,0.08075589
-21.97567138,0.107480348
-21.09618074,0.112047597
-22.33775967,0.095951021
-24.80192124,0.110580476
-25.8514036,0.055021265
-27.47766151,0.128366883
-28.36810854,0.131712844
-27.51982512,0.132054876
-25.98819574,0.131348259
-26.40495092,0.122604164
-26.8527226,0.145247521
-25.60955382,0.137499354
-28.05210014,0.113284587
-29.16133437,0.115340111
-29.46218932,0.130021326
